,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
25,2017-11-15,2.3937956092171087,2.3512315848041796,2.4013867948688716,2.3937956092171087,2.3937956092171087,-0.018229414484280053,-0.018229414484280053,-0.018229414484280053,-0.0029771847428844986,-0.0029771847428844986,-0.0029771847428844986,-0.015252229741395553,-0.015252229741395553,-0.015252229741395553,0.0,0.0,0.0,2.3755661947328286
26,2017-12-09,2.3940579163305262,2.361500362056041,2.4103714416151902,2.3940579163305262,2.3940579163305262,-0.00840833391473866,-0.00840833391473866,-0.00840833391473866,-0.0008931750872332854,-0.0008931750872332854,-0.0008931750872332854,-0.007515158827505374,-0.007515158827505374,-0.007515158827505374,0.0,0.0,0.0,2.3856495824157875
27,2017-12-21,2.3941890698872355,2.348702925674251,2.399826881426646,2.3941890698872355,2.3941890698872355,-0.018710967684098793,-0.018710967684098793,-0.018710967684098793,-0.007423417490228784,-0.007423417490228784,-0.007423417490228784,-0.011287550193870009,-0.011287550193870009,-0.011287550193870009,0.0,0.0,0.0,2.375478102203137
28,2018-01-02,2.3943202234439442,2.349433963147068,2.4001328590417885,2.3943202234439442,2.3943202234439442,-0.019693281064854597,-0.019693281064854597,-0.019693281064854597,0.00185821413421516,0.00185821413421516,0.00185821413421516,-0.021551495199069758,-0.021551495199069758,-0.021551495199069758,0.0,0.0,0.0,2.3746269423790896
29,2018-01-14,2.394451377000653,2.34754603692187,2.398081510061097,2.394451377000653,2.394451377000653,-0.021693814584777253,-0.021693814584777253,-0.021693814584777253,0.0010738020978544368,0.0010738020978544368,0.0010738020978544368,-0.022767616682631688,-0.022767616682631688,-0.022767616682631688,0.0,0.0,0.0,2.3727575624158757
30,2018-01-26,2.394582530557362,2.370509586421005,2.421920602091023,2.394582530557362,2.394582530557362,0.0010690176563610823,0.0010690176563610823,0.0010690176563610823,0.008341193326278255,0.008341193326278255,0.008341193326278255,-0.007272175669917174,-0.007272175669917174,-0.007272175669917174,0.0,0.0,0.0,2.395651548213723
31,2018-02-07,2.3947136844013643,2.3591643922000416,2.4081821196904696,2.3947136844013643,2.3947136844013643,-0.01262137961622105,-0.01262137961622105,-0.01262137961622105,-0.0029771847428696962,-0.0029771847428696962,-0.0029771847428696962,-0.009644194873351357,-0.009644194873351357,-0.009644194873351357,0.0,0.0,0.0,2.3820923047851434
32,2018-06-19,2.3961563766853917,2.3873518760236534,2.4372941453119865,2.3961563766853917,2.3961563766853917,0.016548231507793207,0.016548231507793207,0.016548231507793207,0.0018582141342042289,0.0018582141342042289,0.0018582141342042289,0.014690017373588979,0.014690017373588979,0.014690017373588979,0.0,0.0,0.0,2.412704608193185
33,2018-07-01,2.3962875305293942,2.407192646787321,2.4588787231939206,2.3962875305293942,2.3962875305293942,0.034768524601390675,0.034768524601390675,0.034768524601390675,0.0010738020978454728,0.0010738020978454728,0.0010738020978454728,0.033694722503545195,0.033694722503545195,0.033694722503545195,0.0,0.0,0.0,2.4310560551307847
34,2018-07-13,2.3964186843733963,2.414660529887344,2.4678443751984553,2.3964186843733963,2.3964186843733963,0.04475706117713046,0.04475706117713046,0.04475706117713046,0.00834119332628787,0.00834119332628787,0.00834119332628787,0.036415867850842595,0.036415867850842595,0.036415867850842595,0.0,0.0,0.0,2.441175745550527
